Date,Medicine_Id,Warehouse_id,Supplier_id,Quantity_Sold,Revenue,Country
04-08-2023,MED111,WH001,SUP001,125,1500,India
05-08-2023,MED101,WH002,SUP002,86,2150,India
08-08-2023,MED101,WH003,SUP003,142,2556,India
08-08-2023,MED111,WH004,SUP003,95,1425,India
09-08-2023,MED111,WH005,SUP003,63,2520,India
10-08-2023,MED101,WH006,SUP003,41,2255,India
11-08-2023,MED102,WH007,SUP003,78,2340,India
12-08-2023,MED103,WH008,SUP003,132,2640,India
15-08-2023,MED104,WH009,SUP003,118,2596,India
16-08-2023,MED105,WH010,SUP003,205,2050,India
17-08-2023,MED116,WH011,SUP003,74,1036,India
18-08-2023,MED116,WH012,SUP012,56,1960,India
19-08-2023,MED116,WH013,SUP013,91,1456,India
19-08-2023,MED101,WH014,SUP014,49,3920,India
22-08-2023,MED101,WH015,SUP015,158,1896,India
23-08-2023,MED116,WH015,SUP015,102,2856,India
24-08-2023,MED116,WH015,SUP015,84,2184,India
25-08-2023,MED116,WH015,SUP015,67,3015,India
26-08-2023,MED116,WH015,SUP015,36,5400,India
29-08-2023,MED116,WH015,SUP015,145,5510,India
30-08-2023,MED116,WH015,SUP015,53,3180,USA
31-08-2023,MED116,WH015,SUP015,47,3600,USA
01-09-2023,MED116,WH015,SUP015,73,2336,USA
01-09-2023,MED116,WH015,SUP015,119,5950,USA
02-09-2023,MED101,WH015,SUP015,97,1746,USA
05-09-2023,MED116,WH015,SUP015,89,1780,USA
06-09-2023,MED116,WH015,SUP015,31,2015,USA
07-09-2023,MED101,WH015,SUP015,44,3080,USA
08-09-2023,MED116,WH013,SUP013,128,3200,USA
09-09-2023,MED101,WH013,SUP013,69,2070,USA
12-09-2023,MED116,WH013,SUP013,112,2240,UK
13-09-2023,MED116,WH013,SUP013,76,1900,UK
14-09-2023,MED116,WH013,SUP013,58,2320,UK
14-09-2023,MED116,WH013,SUP013,134,2680,UK
15-09-2023,MED116,WH013,SUP013,121,3025,UK
16-09-2023,MED116,WH013,SUP013,93,2790,UK
19-09-2023,MED116,WH013,SUP013,65,2600,UK
20-09-2023,MED116,WH013,SUP013,39,1560,UK
21-09-2023,MED116,WH013,SUP013,147,5880,UK
22-09-2023,MED116,WH013,SUP013,54,2430,UK
23-09-2023,MED101,WH013,SUP013,82,3280,Germany
26-09-2023,MED102,WH013,SUP013,116,4640,Germany
27-09-2023,MED103,WH013,SUP013,99,2475,Germany
27-09-2023,MED104,WH013,SUP013,71,3550,Germany
28-09-2023,MED105,WH014,SUP014,43,1720,Germany
29-09-2023,MED106,WH013,SUP013,137,4110,Germany
30-09-2023,MED107,WH014,SUP014,124,3720,Germany
03-10-2023,MED108,WH013,SUP013,87,2610,Germany
04-10-2023,MED109,WH014,SUP014,61,2440,Germany
05-10-2023,MED110,WH013,SUP013,33,1320,Germany
06-10-2023,MED111,WH014,SUP014,149,5960,Canada
07-10-2023,MED111,WH013,SUP013,57,2280,Canada
10-10-2023,MED108,WH014,SUP014,79,2844,Canada
10-10-2023,MED108,WH013,SUP013,111,3885,Canada
11-10-2023,MED116,WH014,SUP014,96,2976,Canada
12-10-2023,MED116,WH013,SUP013,68,2720,Canada
13-10-2023,MED116,WH014,SUP014,46,2116,Canada
14-10-2023,MED116,WH013,SUP013,139,4170,Canada
17-10-2023,MED101,WH014,SUP014,122,3904,Canada
18-10-2023,MED101,WH013,SUP013,92,2760,Canada
19-10-2023,MED102,WH014,SUP014,64,2560,Australia
