warehouse_id,medicine_id,stock,expiry_date,reorder_level
WH001,MED101,520,15-06-2027,100
WH002,MED102,340,20-09-2026,80
WH003,MED103,610,10-12-2027,120
WH004,MED104,450,05-08-2026,90
WH005,MED105,290,18-11-2026,70
WH006,MED106,180,25-03-2028,50
WH007,MED107,375,12-07-2027,85
WH008,MED108,640,30-10-2026,130
WH009,MED109,590,14-01-2027,110
WH010,MED110,720,22-05-2028,150
WH011,MED111,410,09-09-2026,75
WH012,MED112,365,17-04-2027,65
WH013,MED113,280,28-02-2027,60
WH014,MED114,150,11-08-2026,40
WH015,MED115,500,19-12-2027,95
WH001,MED116,430,06-06-2028,88
WH002,MED117,390,24-09-2027,82
WH003,MED118,240,15-01-2027,55
WH004,MED119,130,03-05-2026,35
WH005,MED120,560,27-11-2027,105
WH006,MED121,310,13-03-2028,68
WH007,MED122,275,08-07-2027,62
WH008,MED123,195,21-10-2026,45
WH009,MED124,470,29-04-2028,98
WH010,MED125,350,16-08-2027,72
WH011,MED126,260,05-12-2026,58
WH012,MED127,145,10-02-2027,30
WH013,MED128,225,18-06-2028,48
WH014,MED129,540,25-09-2027,115
WH015,MED130,320,07-01-2027,66
